PathFileType,4,(X/Y/Z),Kaydara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,135,41,mm,30,1,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame#,Time,EMLA_LFHD,,,EMLA_RFHD,,,EMLA_LBHD,,,EMLA_RBHD,,,EMLA_LFTShould,,,EMLA_RFTShould,,,EMLA_LRRShould,,,EMLA_RRRShould,,,EMLA_T10,,,EMLA_STRN,,,EMLA_TRUN,,,EMLA_LSHO,,,EMLA_LUPA,,,EMLA_LELB,,,EMLA_LFRM,,,EMLA_LWRA,,,EMLA_LWRB,,,EMLA_LFIN,,,EMLA_RSHO,,,EMLA_RUPA,,,EMLA_RELB,,,EMLA_RFRM,,,EMLA_RWRA,,,EMLA_RWRB,,,EMLA_RFIN,,,EMLA_LFWT,,,EMLA_RFWT,,,EMLA_LBWT,,,EMLA_RBWT,,,EMLA_LTHI,,,EMLA_LKNE,,,EMLA_LSHN,,,EMLA_LANK,,,EMLA_LHEE,,,EMLA_LTOE,,,EMLA_RTHI,,,EMLA_RKNE,,,EMLA_RSHN,,,EMLA_RANK,,,EMLA_RHEE,,,EMLA_RTOE,,
X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01,255.58079,1654.44366,-1927.73712,84.06695,1643.81775,-1933.90106,278.30963,1617.58789,-2073.93097,83.48337,1606.87485,-2083.78006,270.38708,1405.83649,-1959.19922,118.98195,1393.07404,-1957.53204,260.72109,1450.18097,-2108.68607,102.74384,1437.99805,-2104.67087,196.75352,1272.75253,-2150.24734,194.63606,1334.68781,-1919.80942,191.83857,1231.9899,-1898.53699,394.92443,1428.17078,-2015.27374,452.3378,1245.90088,-2031.67023,471.70635,1104.198,-2033.56415,472.60254,967.45758,-2022.15073,394.35448,827.62436,-1933.13721,448.33199,805.48447,-1994.20319,445.25696,775.32089,-1931.11984,-5.63405,1418.93158,-2020.63705,-60.37161,1224.20143,-2026.16089,-73.69256,1080.90836,-2048.80539,-71.52608,977.72522,-2051.1911,-6.32305,824.92584,-1937.13928,-46.53679,794.27048,-2010.69077,-61.82429,772.22221,-1951.28784,293.11985,992.95006,-1915.61798,58.10826,982.2258,-1937.79999,278.80962,1013.70094,-2116.16608,103.5049,1013.7413,-2116.75217,323.04955,730.33722,-2101.95724,325.32936,524.57317,-2061.30768,297.89881,341.73302,-2052.03979,300.75932,164.85874,-2124.6785,236.36538,84.70302,-2184.93195,264.81216,74.02161,-1985.94269,69.10201,712.83745,-2127.20825,32.78301,512.99549,-2067.31522,73.15322,290.30798,-2058.73245,38.20573,129.96248,-2139.81934,95.8473,77.21286,-2189.35379,52.81222,71.71608,-1990.78369
2,0.043,257.88965,1654.8201,-1927.47284,84.66372,1643.62595,-1932.28561,278.84586,1617.66357,-2072.16354,84.20231,1607.06863,-2082.30728,270.85346,1405.79941,-1957.77283,119.42342,1392.96783,-1956.41678,261.40108,1450.1915,-2107.27646,103.50574,1437.99011,-2103.55118,197.51348,1272.77733,-2149.02008,195.07685,1334.5816,-1918.56232,192.24216,1231.87302,-1897.35092,395.52876,1428.1813,-2013.71414,453.02254,1245.90981,-2030.14923,472.39368,1104.19258,-2031.81091,473.05237,967.35611,-2020.13397,394.25854,827.84149,-1930.96558,448.32256,805.52658,-1991.84875,445.04543,775.50858,-1928.65936,-5.00121,1418.94516,-2019.69238,-59.72108,1224.30435,-2024.81018,-73.31562,1081.0331,-2047.39029,-71.06107,977.74414,-2049.45923,-5.63468,825.48058,-1934.83459,-46.08492,795.0985,-2007.32529,-61.22702,772.59918,-1948.8269,293.45875,992.75726,-1914.54315,58.49388,982.09694,-1936.95663,279.33531,1013.82317,-2115.06638,104.03341,1013.90961,-2115.83893,323.38131,730.35866,-2101.33682,325.53505,524.51874,-2060.9407,298.02374,341.70677,-2051.85806,300.85047,164.81857,-2124.62418,236.38336,84.74236,-2184.92966,264.78323,74.02795,-1985.94162,69.66366,712.67815,-2126.2085,33.02459,513.04363,-2067.13852,73.27873,290.27773,-2058.61572,38.27032,130.03721,-2139.82468,95.79864,77.40488,-2189.45953,52.79283,71.72256,-1990.77179
3,0.077,257.28462,1654.13818,-1924.76715,85.20634,1643.40744,-1930.75012,279.57895,1617.7565,-2070.45364,84.88193,1607.20276,-2080.92056,271.56063,1405.74142,-1956.43494,119.82155,1392.90466,-1955.31921,262.03945,1449.98077,-2105.83679,104.11131,1437.96677,-2102.39502,198.14468,1272.70836,-2147.8569,195.5328,1334.43359,-1917.33734,192.60485,1231.71501,-1896.16135,396.04321,1428.03833,-2012.22946,453.62743,1245.77858,-2028.40256,472.97089,1104.02779,-2029.98276,473.46825,967.19368,-2018.01956,394.18907,828.08739,-1928.52707,448.25207,805.4744,-1989.24377,444.8785,775.64438,-1926.06018,-4.42748,1418.93356,-2018.69675,-59.36825,1224.31717,-2023.7294,-72.90156,1081.01685,-2046.05759,-70.73156,977.70004,-2047.80548,-5.31452,825.75073,-1932.58224,-45.73303,795.28839,-2005.0209,-60.93371,772.8495,-1946.48392,293.78841,992.41074,-1913.57391,58.74664,981.82877,-1936.30859,279.85231,1013.79654,-2114.04022,104.55454,1013.95622,-2114.97009,323.79864,730.28862,-2100.60577,325.72914,524.41544,-2060.52612,298.13437,341.63841,-2051.65558,300.9281,164.79965,-2124.52637,236.44594,84.79302,-2184.92371,264.77528,74.03035,-1985.93201,70.25983,712.64557,-2125.65079,33.33463,512.95643,-2066.88492,73.42519,290.22694,-2058.5054,38.41218,130.05742,-2139.80042,96.06795,77.13914,-2189.54086,52.80093,71.69994,-1990.78125
4,0.11,257.02702,1653.70316,-1922.43622,85.75259,1643.25684,-1929.35791,280.23785,1617.88086,-2068.81866,85.62754,1607.28455,-2079.47556,272.17936,1405.5899,-1955.16281,120.34382,1392.83218,-1954.07562,262.7244,1449.92264,-2104.70245,104.68402,1437.93549,-2101.27106,198.71237,1272.64503,-2146.73752,195.8894,1334.27368,-1916.16562,192.91281,1231.59317,-1895.01755,396.53061,1427.80624,-2010.89569,454.16927,1245.50865,-2026.73981,473.40965,1103.68637,-2027.97577,473.72948,966.92795,-2015.7254,394.17259,828.13858,-1925.95764,448.26008,805.33562,-1986.50742,444.83829,775.73723,-1923.21304,-3.87094,1418.80447,-2017.603,-58.89788,1224.1787,-2022.36816,-72.59663,1080.94566,-2044.52087,-70.49226,977.60056,-2046.13922,-5.36121,825.88524,-1930.38132,-45.65953,795.37071,-2002.82379,-60.94751,773.00133,-1944.29123,294.15905,992.18933,-1912.45712,58.94749,981.53511,-1935.57114,280.38242,1013.85231,-2112.96173,105.10801,1014.011,-2114.03473,324.11812,730.36865,-2100.04059,325.95188,524.3856,-2060.29999,298.25907,341.6613,-2051.54099,300.94402,164.87082,-2124.47098,236.39141,84.90205,-2184.87946,264.77833,74.04253,-1985.9227,70.63189,712.49168,-2124.72733,33.60445,512.93022,-2066.58371,73.53463,290.22381,-2058.38791,38.4986,130.12439,-2139.77463,96.01957,77.4088,-2189.45526,52.79311,71.70702,-1990.75226
5,0.143,257.45346,1653.47946,-1920.75043,86.15155,1642.98492,-1927.89185,280.88251,1617.96722,-2067.14874,86.23755,1607.47482,-2078.2019,272.20842,1405.38437,-1954.12979,120.71629,1392.686,-1953.07922,263.22638,1449.68735,-2103.48358,105.20563,1437.85217,-2100.28397,199.20736,1272.51747,-2145.63751,196.27285,1334.21555,-1915.06592,193.08643,1231.48216,-1893.87299,396.96869,1427.64969,-2009.67636,454.4109,1245.29198,-2025.05234,473.72746,1103.47557,-2026.05789,473.88809,966.71341,-2013.43216,394.17236,828.37349,-1923.23807,448.25592,805.25551,-1983.7355,444.80625,775.86372,-1920.33691,-3.4068,1418.80875,-2016.57959,-58.49166,1224.21463,-2020.98373,-72.29979,1080.95108,-2043.01041,-70.41361,977.612,-2044.32068,-5.49888,825.96069,-1928.35175,-45.76302,795.5365,-2000.73303,-61.20303,773.15781,-1942.22748,294.59633,991.92863,-1911.48483,59.40221,981.51047,-1934.42413,280.77236,1013.96027,-2111.90643,105.45053,1014.10797,-2113.01315,324.29752,730.38673,-2099.36966,326.1578,524.36516,-2059.92828,298.43262,341.63414,-2051.29944,301.00002,164.90868,-2124.38538,236.42351,85.00764,-2184.87518,264.75992,74.01039,-1985.92758,71.29614,712.24457,-2123.30261,33.89882,512.88002,-2066.20941,73.65885,290.24767,-2058.23456,38.55253,130.16729,-2139.69879,96.16338,77.39019,-2189.26697,52.72135,71.71753,-1990.75867
6,0.177,257.73746,1653.14774,-1919.0004,86.59472,1642.77527,-1926.59729,281.55167,1618.12363,-2065.47455,86.95818,1607.68875,-2076.99905,272.73191,1405.34134,-1953.11356,121.09192,1392.5766,-1952.04483,263.6532,1449.56955,-2102.60498,105.65635,1437.76596,-2099.34372,199.55853,1272.37274,-2144.6022,196.4089,1334.11743,-1914.11621,193.40849,1231.45645,-1892.94312,397.397,1427.41852,-2008.6084,454.83307,1244.99626,-2023.53439,474.04613,1103.24341,-2024.32312,474.03137,966.44913,-2011.1557,394.31282,828.63777,-1920.5925,448.31593,805.19043,-1981.04507,444.78176,776.06194,-1917.41837,-2.99555,1418.76572,-2015.71213,-58.22903,1224.06395,-2019.64386,-72.07861,1080.93842,-2041.3295,-70.41959,977.61566,-2042.55035,-5.94291,825.81734,-1926.40167,-46.1401,795.56328,-1998.8295,-61.60583,773.11058,-1940.35873,295.14124,991.52931,-1910.62714,59.77142,981.33438,-1933.31665,280.97666,1013.91266,-2110.9874,105.67828,1013.97942,-2111.88629,324.54514,730.40123,-2098.70667,326.31001,524.2728,-2059.3335,298.57628,341.56654,-2050.96252,300.99218,164.9152,-2124.28543,236.36456,85.08596,-2184.8288,264.80087,74.0175,-1985.8905,72.0388,712.1405,-2121.90002,34.3458,512.85816,-2065.78232,73.86079,290.22264,-2058.01437,38.77496,130.3216,-2139.65912,96.42396,77.39432,-2188.97369,52.71255,71.70709,-1990.7373
7,0.21,258.1358,1652.62787,-1917.19315,87.06536,1642.52441,-1925.32501,282.36782,1618.04794,-2063.79974,87.7497,1607.9686,-2075.86517,272.84611,1405.07721,-1952.16888,121.32151,1392.52838,-1951.13647,263.97198,1449.33868,-2101.70944,105.86053,1437.58148,-2098.40088,199.76231,1272.18033,-2143.65875,196.76624,1334.0683,-1913.15384,193.62398,1231.28212,-1891.92673,397.59857,1427.27371,-2007.63168,455.00637,1244.78477,-2021.84357,474.3734,1103.18726,-2022.75421,474.29123,966.28197,-2009.18137,394.44752,829.06921,-1918.16925,448.35575,805.06424,-1978.42072,444.85718,776.44241,-1914.49234,-2.70324,1418.58948,-2014.70032,-57.93874,1223.93417,-2018.24738,-71.9375,1080.82054,-2039.62006,-70.51727,977.54692,-2040.83817,-6.29418,825.77789,-1924.60449,-46.48066,795.5542,-1996.99738,-62.04282,773.01277,-1938.59299,295.46719,991.90948,-1909.70123,60.28804,981.23848,-1932.04559,281.1788,1013.63655,-2110.16281,105.87052,1013.82744,-2110.79666,324.75777,730.36537,-2097.95288,326.41315,524.25579,-2058.76663,298.65742,341.46141,-2050.56442,300.94427,164.91535,-2124.19022,236.2006,85.20166,-2184.73267,264.83479,73.99671,-1985.87616,72.81907,711.97533,-2120.70511,34.7063,512.82196,-2065.28519,74.02609,290.19955,-2057.74384,38.99508,130.40953,-2139.59686,96.58901,77.56013,-2189.05151,52.7061,71.71636,-1990.73517
8,0.243,258.5795,1651.94183,-1915.53986,87.55,1642.43347,-1924.13086,283.05431,1617.84683,-2062.15958,88.4506,1608.44925,-2074.78683,273.06574,1404.84985,-1951.32187,121.55478,1392.34131,-1950.12955,264.0715,1449.18213,-2100.90881,105.89943,1437.41867,-2097.42737,199.7702,1271.99959,-2142.83401,197.13955,1334.02344,-1912.35489,193.86765,1231.04256,-1891.08826,397.7002,1427.09198,-2006.82755,455.30796,1244.58351,-2020.65094,474.7718,1103.07098,-2021.297,474.60629,966.15143,-2007.32727,394.58359,829.52629,-1915.83496,448.4774,805.0428,-1975.91324,444.93603,776.8602,-1911.60965,-2.61691,1418.39081,-2013.55652,-57.91628,1223.75053,-2016.9841,-72.02553,1080.5677,-2038.10455,-70.71155,977.33002,-2039.24347,-6.57839,825.588,-1923.01056,-46.88483,795.49591,-1995.31128,-62.476,772.90031,-1936.86646,295.76597,991.75026,-1908.86429,60.65681,980.98442,-1930.97336,281.43843,1013.47359,-2109.23325,106.16227,1013.68347,-2109.65179,324.84959,730.35294,-2097.21558,326.57494,524.20628,-2058.27393,298.736,341.47396,-2050.17685,300.85228,165.00153,-2124.02359,236.06709,85.30623,-2184.53003,264.81287,73.99798,-1985.82428,73.64414,711.95511,-2119.48334,35.05569,512.82269,-2064.56726,74.15784,290.12428,-2057.35291,39.12651,130.49219,-2139.53796,96.88614,77.22062,-2188.64471,52.67434,71.71398,-1990.69534
