PathFileType,4,(X/Y/Z),Kaydara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,163,41,mm,30,1,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame#,Time,EMLA_LFHD,,,EMLA_RFHD,,,EMLA_LBHD,,,EMLA_RBHD,,,EMLA_LFTShould,,,EMLA_RFTShould,,,EMLA_LRRShould,,,EMLA_RRRShould,,,EMLA_T10,,,EMLA_STRN,,,EMLA_TRUN,,,EMLA_LSHO,,,EMLA_LUPA,,,EMLA_LELB,,,EMLA_LFRM,,,EMLA_LWRA,,,EMLA_LWRB,,,EMLA_LFIN,,,EMLA_RSHO,,,EMLA_RUPA,,,EMLA_RELB,,,EMLA_RFRM,,,EMLA_RWRA,,,EMLA_RWRB,,,EMLA_RFIN,,,EMLA_LFWT,,,EMLA_RFWT,,,EMLA_LBWT,,,EMLA_RBWT,,,EMLA_LTHI,,,EMLA_LKNE,,,EMLA_LSHN,,,EMLA_LANK,,,EMLA_LHEE,,,EMLA_LTOE,,,EMLA_RTHI,,,EMLA_RKNE,,,EMLA_RSHN,,,EMLA_RANK,,,EMLA_RHEE,,,EMLA_RTOE,,
X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01,244.63446,1650.21729,-1969.21173,74.79444,1645.52643,-1964.60342,254.53295,1620.9761,-2118.14774,60.24546,1617.75223,-2114.25385,247.81582,1406.32721,-2004.46869,98.10635,1397.91138,-1994.61227,233.1793,1447.52197,-2154.28589,76.2365,1437.96463,-2143.34763,165.64425,1269.58054,-2186.84158,174.72055,1339.13055,-1959.01352,172.03358,1237.05772,-1933.19382,370.229,1424.15894,-2065.11475,421.0804,1238.33092,-2073.6348,436.57494,1095.47035,-2067.53708,440.88058,961.53923,-2050.1326,378.42464,824.77798,-1943.27087,428.06122,801.43349,-2007.31033,432.1434,775.40047,-1942.49664,-27.10981,1423.16635,-2052.54913,-88.32777,1232.24937,-2038.15079,-110.62596,1087.98523,-2047.61627,-114.24698,985.83504,-2046.03409,-46.65064,833.54332,-1932.39777,-95.26432,808.76801,-1997.04819,-105.38369,784.14482,-1937.56775,277.32187,998.83141,-1950.31174,42.49508,986.78513,-1955.71945,249.34753,1012.67441,-2149.17847,72.7661,1013.3905,-2139.54666,301.83819,731.37543,-2132.30957,309.55545,527.17644,-2087.957,282.71145,343.73756,-2074.64676,286.65859,165.29152,-2145.15671,221.77967,83.74697,-2203.72314,252.96839,74.61366,-2004.96307,48.0358,715.16708,-2143.2222,20.37446,514.66942,-2077.36786,70.70029,292.91851,-2069.37469,37.53025,129.79963,-2149.45145,94.55191,78.78882,-2202.4324,62.80205,71.36738,-2000.73822
2,0.043,244.11644,1650.55435,-1967.4823,74.14083,1645.44998,-1963.38013,254.36775,1622.19559,-2116.64536,60.10364,1618.7149,-2113.39386,247.1302,1407.25693,-2002.65839,98.21533,1398.56155,-1993.61313,233.43149,1447.99438,-2152.72552,76.52109,1438.16284,-2143.07892,166.56631,1269.9482,-2185.37231,174.03362,1339.8201,-1957.68082,171.13134,1237.78862,-1931.63864,369.86206,1425.47226,-2062.35413,422.45472,1240.28061,-2073.82156,439.19853,1097.62115,-2070.85602,444.50397,963.31497,-2056.08353,383.18188,823.95515,-1951.85349,432.7702,802.28546,-2016.51596,437.26906,774.89609,-1952.34329,-27.28469,1423.0896,-2052.63016,-87.90814,1232.23358,-2038.14667,-110.64979,1088.21999,-2047.93381,-114.55863,986.06873,-2046.35117,-48.27752,833.46436,-1932.04849,-96.38701,808.992,-1997.31079,-107.13203,784.21951,-1938.0365,276.15738,998.96393,-1947.92053,41.40332,987.50084,-1955.16571,250.2677,1013.03589,-2146.96686,73.60456,1013.92609,-2138.79349,303.40523,731.5493,-2130.11078,309.77001,527.11586,-2086.03043,282.74208,343.7653,-2073.57178,287.34737,165.41449,-2144.43741,222.89114,84.11988,-2203.82294,252.72921,74.53952,-2004.76776,46.3889,715.64384,-2142.50992,18.71523,515.28206,-2075.13306,69.39855,293.12117,-2068.22632,35.00981,130.27573,-2148.14285,90.97421,79.9395,-2202.66586,62.75966,71.32598,-2000.4068
3,0.077,243.46458,1650.49423,-1965.8963,73.21115,1645.35141,-1962.50198,254.21457,1623.07495,-2115.1384,59.90574,1619.46213,-2112.65549,246.89898,1408.12881,-2001.17325,97.16434,1398.77243,-1993.65341,233.68198,1448.12927,-2151.63239,76.81877,1438.10638,-2143.01743,167.425,1269.98756,-2183.99765,173.45415,1340.40619,-1956.55304,170.72922,1238.50525,-1930.29922,369.50947,1426.97647,-2060.04898,424.37748,1242.74399,-2072.55371,442.30541,1100.1973,-2072.53693,448.30692,965.41519,-2060.32867,386.69662,823.92357,-1959.23386,435.93094,803.23776,-2024.51767,440.21172,774.4986,-1960.75027,-27.32604,1422.83249,-2052.76794,-87.62327,1231.96426,-2038.5524,-110.68731,1088.16681,-2048.91479,-114.4914,985.85655,-2047.39777,-49.58629,833.38531,-1932.14233,-96.79546,808.87108,-1998.11798,-108.40362,784.08485,-1938.95309,276.11755,998.35854,-1945.82626,41.12323,987.73743,-1954.27078,250.85224,1013.4848,-2144.95956,74.19213,1014.73129,-2137.47437,302.89209,731.37978,-2128.68118,309.32598,526.97453,-2085.26627,282.32891,343.69869,-2073.22327,287.09448,165.49076,-2144.25995,222.87123,84.18068,-2203.80463,252.52138,74.46741,-2004.70612,43.51146,716.79329,-2141.30325,17.39171,515.8247,-2074.82361,68.11066,293.53092,-2068.40042,32.17111,130.61726,-2147.2998,86.82393,80.53614,-2203.25851,62.74816,71.31298,-2000.3241
4,0.11,242.90798,1650.20309,-1964.68185,72.81197,1645.01434,-1961.6069,254.02414,1623.58398,-2114.01443,59.66682,1619.98627,-2112.09915,246.6643,1408.77106,-1999.87717,96.54417,1398.57758,-1993.44635,233.83133,1447.87323,-2150.88745,77.10911,1437.44141,-2142.94189,168.23814,1269.31412,-2182.5676,173.22474,1341.30188,-1955.67261,170.60932,1239.10927,-1929.15741,369.27719,1428.18924,-2058.50067,426.27125,1244.90158,-2071.4917,445.20405,1102.29713,-2072.79755,451.64734,967.39677,-2062.89108,387.79938,823.88046,-1965.53268,438.20625,804.28299,-2030.26215,441.26251,774.20547,-1967.11212,-27.46695,1422.21176,-2053.25363,-87.91114,1231.1882,-2039.33884,-110.86675,1087.463,-2050.47333,-114.55813,985.09842,-2048.9444,-50.52327,833.06267,-1932.83768,-96.89836,808.16597,-1999.24896,-109.13919,783.53172,-1940.14633,275.71865,997.4176,-1944.0477,41.17256,987.22542,-1953.62274,251.4061,1013.72696,-2143.37234,74.71388,1015.15984,-2136.39114,301.14124,731.08017,-2127.75116,308.97806,526.92005,-2085.54443,282.15271,343.66737,-2073.42728,286.6836,165.485,-2144.45038,222.49327,84.18309,-2203.80325,252.4962,74.45019,-2004.69376,43.13486,717.03979,-2141.91483,16.2348,515.72762,-2075.44632,67.22616,293.55005,-2069.35699,29.8621,130.4366,-2147.11823,83.4918,80.35813,-2204.14673,62.94806,71.32038,-2000.68527
5,0.143,242.24796,1649.71893,-1963.66653,72.39088,1644.58908,-1960.88043,253.67538,1623.65784,-2113.19168,59.3904,1620.09369,-2111.53534,246.16638,1409.29504,-1999.24744,96.5971,1398.43414,-1992.8862,233.88731,1447.62344,-2150.30594,77.26908,1436.60873,-2142.73071,169.07829,1268.61168,-2181.65817,172.97829,1341.16058,-1954.83124,170.54096,1239.23996,-1928.23547,369.11983,1428.80432,-2057.31812,427.62829,1246.53648,-2070.54794,447.42924,1103.74924,-2072.202,454.06837,968.60924,-2063.84491,387.19543,823.54904,-1970.87692,439.78745,805.03113,-2034.13727,440.85114,773.93639,-1971.41495,-27.65165,1421.25732,-2053.70956,-88.33999,1230.1123,-2040.55832,-111.03811,1086.38481,-2052.08679,-114.55558,983.99147,-2050.60104,-50.83082,832.05437,-1934.31046,-96.79636,807.0256,-2000.86838,-109.29831,782.40829,-1941.78162,275.38778,996.97067,-1942.92221,40.97363,986.70158,-1953.54706,251.7136,1013.92395,-2142.49481,74.958,1015.41786,-2136.15433,300.64039,731.03424,-2127.64969,308.64479,526.86504,-2086.05087,282.03926,343.71033,-2073.84766,286.39814,165.48878,-2144.68735,222.21571,84.12,-2203.72437,252.57017,74.43429,-2004.67819,42.8876,716.72241,-2143.78464,16.57271,515.24166,-2076.11023,67.61592,293.29168,-2069.98962,30.26487,129.90294,-2147.32956,83.91805,79.67927,-2204.23004,63.07267,71.32052,-2000.78217
6,0.177,241.79436,1649.3985,-1963.03055,71.93302,1644.24301,-1960.36224,253.29817,1623.43948,-2112.58789,59.02364,1619.78485,-2110.91568,245.96302,1409.00681,-1998.37662,95.77374,1397.63336,-1993.21747,234.05237,1447.54944,-2149.53033,77.36406,1436.16028,-2142.37854,169.69816,1268.53485,-2181.34369,172.60101,1340.47699,-1954.36234,170.24817,1238.77869,-1927.87964,368.95657,1429.07745,-2055.95627,428.21701,1247.49123,-2069.10568,448.69167,1104.52698,-2071.07559,455.41622,969.38225,-2064.08127,385.66593,823.23074,-1974.59747,440.13519,805.29549,-2036.38626,439.01897,773.57109,-1973.92792,-27.83303,1420.59341,-2054.20547,-88.35032,1228.97148,-2041.39938,-110.67267,1085.24605,-2053.30673,-114.15082,982.86591,-2052.09793,-50.66574,830.56404,-1936.32523,-96.40456,805.77972,-2003.14667,-109.02848,780.82909,-1944.19876,274.99542,996.55182,-1942.38708,40.3482,985.9623,-1953.89587,251.9195,1014.38385,-2141.94351,75.33362,1015.58372,-2136.29761,301.17239,731.19354,-2127.8595,308.12504,526.95183,-2086.52451,281.90996,343.93425,-2074.24606,286.08135,165.65117,-2145.0235,221.85724,84.15836,-2203.7326,252.7393,74.45473,-2004.69086,43.16948,716.43532,-2143.974,18.03071,514.7876,-2077.78305,68.40034,292.92971,-2070.55557,32.14264,129.60821,-2148.08212,86.25033,78.8953,-2203.94562,63.11797,71.3578,-2000.82916
7,0.21,241.46038,1649.02008,-1962.52548,71.59173,1643.73932,-1959.81827,252.97379,1623.23456,-2112.00485,58.62243,1619.57825,-2110.47195,245.54914,1408.76282,-1998.09174,96.3933,1397.40509,-1992.51892,234.24109,1447.54776,-2149.22684,77.40375,1435.95978,-2142.31812,170.02291,1268.51974,-2181.37894,172.27314,1340.09933,-1954.2598,169.93252,1238.36388,-1927.84729,368.90514,1429.09332,-2055.01434,428.35018,1247.82021,-2067.59155,448.92136,1104.73816,-2070.01419,454.69807,968.92418,-2062.58133,383.07755,822.65053,-1976.85822,439.20147,805.21004,-2037.53571,436.79821,773.10524,-1975.48218,-28.00154,1420.06439,-2054.51981,-87.60917,1227.67113,-2041.42288,-109.65326,1084.35219,-2053.97461,-113.09336,982.17194,-2053.43674,-49.80484,828.66257,-1938.91327,-95.61251,804.67934,-2005.88196,-108.21774,779.25583,-1947.1579,274.10751,996.79901,-1941.74545,39.77622,985.37186,-1954.4455,252.39941,1014.53987,-2141.66672,76.08856,1015.27962,-2136.80344,300.73736,731.21765,-2128.11646,307.43387,526.97182,-2087.04437,281.50234,343.93265,-2074.56451,285.45782,165.72733,-2145.37506,221.01801,83.95804,-2203.49655,252.82911,74.45042,-2004.6994,47.77314,716.03157,-2144.63593,19.58693,514.49928,-2080.27298,69.19539,292.93705,-2071.25122,34.17484,129.72743,-2148.95508,88.82128,78.2901,-2203.56934,63.01003,71.4139,-2000.87494
8,0.243,241.26501,1648.66852,-1962.10831,71.14119,1643.20206,-1959.47586,252.72507,1623.76633,-2111.74591,58.39285,1619.78683,-2110.21561,245.77475,1408.79135,-1998.09433,95.49179,1397.05536,-1993.6644,234.45358,1447.49069,-2149.45236,77.51348,1435.81284,-2142.72263,170.30891,1268.45482,-2181.66443,172.07293,1340.05814,-1954.43237,169.67846,1238.40866,-1927.99683,368.98415,1428.94485,-2054.85367,428.0677,1247.56538,-2067.24945,448.31722,1104.31717,-2069.61441,453.47343,968.47481,-2062.23862,380.99911,822.3632,-1977.08649,436.92696,804.77646,-2037.64511,434.02615,772.46437,-1975.70221,-28.16315,1419.6817,-2054.4371,-87.02637,1227.34779,-2042.22382,-108.01908,1083.71368,-2054.57489,-111.40792,981.72798,-2054.76868,-48.18332,826.98738,-1941.67038,-94.16388,803.86833,-2008.86749,-106.67058,777.80396,-1950.41718,274.13546,996.67534,-1941.53442,39.78484,985.29495,-1955.0032,253.09395,1014.35936,-2141.62369,76.91199,1015.02388,-2137.38449,299.47239,731.08917,-2128.27393,306.919,526.97464,-2087.44186,281.18948,343.85139,-2074.73816,284.68142,165.76696,-2145.61615,220.17664,83.8663,-2203.27652,252.88958,74.44314,-2004.69025,52.6053,715.45471,-2146.1203,20.72329,514.48833,-2082.44217,69.67957,293.19605,-2071.93192,35.21834,129.8048,-2149.72107,90.23332,77.78659,-2203.38287,62.87814,71.47597,-2000.99808
