PathFileType,4,(X/Y/Z),Kaydara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,161,41,mm,30,16,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame#,Time,SALE_LFHD,,,SALE_RFHD,,,SALE_LBHD,,,SALE_RBHD,,,SALE_LFTShould,,,SALE_RFTShould,,,SALE_LRRShould,,,SALE_RRRShould,,,SALE_T10,,,SALE_STRN,,,SALE_TRUN,,,SALE_LSHO,,,SALE_LUPA,,,SALE_LELB,,,SALE_LFRM,,,SALE_LWRA,,,SALE_LWRB,,,SALE_LFIN,,,SALE_RSHO,,,SALE_RUPA,,,SALE_RELB,,,SALE_RFRM,,,SALE_RWRB,,,SALE_RFIN,,,SALE_LFWT,,,SALE_RFWT,,,SALE_LBWT,,,SALE_RBWT,,,SALE_LTHI,,,SALE_LKNE,,,SALE_RWRA,,,SALE_LSHN,,,SALE_LANK,,,SALE_LHEE,,,SALE_LTOE,,,SALE_RTHI,,,SALE_RKNE,,,SALE_RSHN,,,SALE_RANK,,,SALE_RHEE,,,SALE_RTOE,,
X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.5,213.51891,1653.64182,-2018.51852,77.49518,1653.59299,-2013.90915,205.19527,1630.58258,-2153.69308,77.60858,1626.88644,-2142.54791,223.5697,1393.26874,-2062.14813,84.8823,1390.84167,-2039.40979,196.81942,1443.84338,-2176.29395,50.63555,1449.28055,-2146.75781,113.95777,1288.88016,-2220.6218,157.2731,1323.1221,-2000.07965,162.51261,1240.03891,-1953.52875,321.80191,1415.83527,-2149.33014,360.93246,1202.60719,-2157.64648,344.71489,1089.17076,-2181.08917,378.70483,984.50783,-2157.41501,328.86471,845.01175,-2083.86475,386.49925,837.94518,-2132.00882,392.09297,796.35818,-2082.73605,-30.35231,1418.3876,-2085.51239,-68.62958,1184.12888,-2129.62311,-89.28029,1087.07169,-2077.35718,-79.84197,973.09494,-2082.34299,-103.03639,839.50478,-2029.09882,-109.93665,801.35651,-1973.41476,284.60842,981.93542,-2022.68219,6.41224,971.23863,-2004.30695,211.18593,1043.67874,-2184.69025,34.53578,1043.60916,-2170.57327,274.60058,677.81784,-2180.06256,268.89095,508.99754,-2095.54535,-56.82139,853.3149,-1972.7774,267.66962,312.3315,-2095.96725,268.73602,127.38632,-2146.19873,232.02868,75.91686,-2209.7908,228.11211,67.42105,-1980.56671,-11.18444,726.43295,-2163.56491,21.8517,561.73439,-2066.70074,75.74477,375.32093,-2089.58038,39.34045,121.06549,-2145.71091,56.73495,71.31927,-2019.10263,89.47785,63.69883,-2216.98685
2,0.533,215.23207,1653.3046,-2018.78403,78.95674,1654.41025,-2012.70004,205.13739,1630.08362,-2153.70529,77.68151,1627.45361,-2141.33987,222.48985,1393.12286,-2060.28458,84.05925,1391.20605,-2038.43063,196.61066,1443.55652,-2175.03159,50.33767,1449.24362,-2146.13037,113.77803,1288.44818,-2219.10553,156.19349,1323.49457,-1998.57162,161.30924,1240.62019,-1951.65604,321.38138,1415.45609,-2147.659,359.5303,1201.75583,-2155.31448,342.23606,1088.61465,-2178.42285,375.67486,983.59184,-2154.19495,325.45677,845.03441,-2079.66858,382.6569,837.15088,-2128.3046,388.02811,795.7502,-2078.89633,-30.89037,1418.6235,-2084.94736,-68.95361,1184.37027,-2128.5434,-89.78288,1087.40143,-2076.1554,-80.32429,973.43948,-2081.22681,-104.02167,839.81224,-2028.39752,-111.09593,801.52168,-1972.86469,283.6273,981.74698,-2019.44244,5.31098,970.88959,-2003.75061,211.62016,1044.03877,-2182.40387,34.90322,1043.78197,-2169.46686,275.36568,678.08167,-2178.09341,268.0909,509.09733,-2094.47327,-58.12737,853.3799,-1971.69861,267.20648,312.58282,-2095.37231,268.38968,127.65465,-2145.73273,231.40039,76.25144,-2209.53064,228.06042,67.28717,-1980.22583,-10.77886,726.62224,-2163.79013,21.1085,561.4893,-2066.84998,75.27763,375.25009,-2089.319,39.30493,121.02856,-2145.86029,56.59318,71.25656,-2019.07364,89.48157,63.67275,-2216.97205
3,0.567,216.44897,1652.8949,-2018.85315,80.0841,1654.94812,-2011.9133,205.42574,1629.52499,-2153.66943,78.00247,1627.68356,-2140.60089,222.65335,1393.2959,-2059.19586,83.29404,1391.34171,-2037.89505,197.1735,1443.02689,-2173.77762,50.63775,1449.02344,-2146.18561,114.606,1287.87277,-2217.96234,154.97914,1323.70132,-1997.14035,159.60584,1240.97305,-1949.86633,321.78654,1414.79095,-2145.16418,359.10942,1201.02531,-2152.42935,341.19144,1087.96448,-2174.89624,374.28093,982.84645,-2150.29373,323.58803,844.991,-2074.89746,380.58201,836.27304,-2123.49854,385.22003,794.56848,-2074.04816,-31.19889,1418.74466,-2085.60867,-68.81384,1184.22722,-2128.6116,-90.35777,1087.49084,-2076.20941,-80.82891,973.54736,-2080.67581,-105.16814,840.33676,-2027.22992,-112.42817,802.14592,-1971.60187,282.54337,981.54137,-2015.64865,3.91804,970.56252,-2003.3165,212.35319,1044.04892,-2179.65973,35.48434,1043.79295,-2168.53348,276.52138,678.80257,-2176.69128,267.81176,509.05182,-2094.96307,-59.53715,854.15833,-1970.36316,266.98229,313.10709,-2095.5867,267.48856,128.01064,-2145.67825,229.83725,76.68506,-2209.245,227.79842,67.07664,-1979.70322,-10.3682,726.69662,-2164.36066,20.15683,561.27735,-2067.21741,74.6869,375.20454,-2089.36722,39.28025,121.04615,-2146.13403,56.44598,71.22654,-2019.0274,89.52081,63.62098,-2216.9339
4,0.6,217.1213,1652.58911,-2018.76801,80.79596,1654.99374,-2011.75262,205.95711,1629.04602,-2153.48419,78.54654,1627.63901,-2140.35004,220.56753,1392.14294,-2056.09222,82.61277,1391.46118,-2037.95914,198.51971,1442.38861,-2172.58179,51.61616,1448.58856,-2146.85791,116.37011,1287.1608,-2217.21466,153.83352,1323.93539,-1996.08139,157.55939,1241.5303,-1948.29498,322.68494,1414.14398,-2142.19162,359.68628,1200.39978,-2147.67899,342.24434,1087.20413,-2170.23514,374.98375,982.11983,-2144.73312,323.33656,844.83116,-2069.79568,380.80173,835.56229,-2117.47528,384.25621,793.54347,-2068.22296,-30.99684,1418.43231,-2086.96091,-68.47827,1184.09439,-2130.05951,-90.7091,1087.4707,-2077.39349,-81.19153,973.45261,-2080.63431,-106.3726,841.15753,-2026.03149,-113.94114,803.25668,-1970.05646,281.06775,981.24298,-2011.2973,2.30923,970.49927,-2002.99789,213.57462,1043.97438,-2176.26495,36.23201,1044.16748,-2168.21579,277.70853,679.62982,-2175.28351,267.74588,508.93265,-2096.8103,-60.89452,855.16548,-1968.82584,266.81717,313.59472,-2096.09909,265.7637,128.16217,-2145.79376,227.0797,77.19872,-2208.83423,227.87113,66.88746,-1979.14673,-9.77576,726.88713,-2164.97314,19.32173,561.13197,-2067.36496,74.18996,375.13298,-2089.30206,39.22478,121.05134,-2146.3652,56.22376,71.22512,-2018.99597,89.58307,63.60251,-2216.89941
5,0.633,217.21546,1652.26059,-2018.36349,81.13988,1654.80515,-2011.97357,206.70525,1628.84796,-2153.23151,79.24428,1627.59338,-2140.5986,220.78781,1392.3201,-2054.75739,82.29038,1391.77475,-2038.64044,200.51863,1441.79779,-2171.63422,53.28282,1448.16406,-2148.25394,118.99865,1286.34415,-2216.83426,152.48858,1324.37119,-1995.32639,155.20463,1242.22252,-1946.89789,324.06513,1413.63937,-2138.73444,361.70715,1200.04364,-2142.14798,344.96056,1086.69807,-2164.79446,377.47913,981.75468,-2138.24051,323.70434,844.61945,-2064.7905,382.87453,835.4464,-2110.25436,384.84531,793.15048,-2061.05591,-30.50253,1418.5199,-2089.935,-67.59253,1183.90244,-2132.35123,-90.70621,1087.4646,-2079.22668,-81.27236,973.47443,-2080.96451,-107.84304,842.47452,-2025.00183,-116.21645,804.87854,-1969.09119,279.55933,980.78812,-2007.07657,0.65367,970.51308,-2002.88864,215.21038,1043.93822,-2172.62085,37.53715,1044.26003,-2167.35504,278.57924,680.09186,-2173.62183,266.97966,508.67451,-2096.8985,-63.13471,857.01729,-1967.25616,266.03117,313.81788,-2096.50467,263.77037,128.40597,-2146.12122,224.08747,77.51129,-2208.56949,227.68038,66.72755,-1978.68652,-8.77728,726.69739,-2164.9855,18.67129,561.10981,-2067.46506,73.77459,375.11597,-2089.17297,39.21667,121.09301,-2146.45844,56.0709,71.19152,-2018.93402,89.59848,63.62132,-2216.91025
6,0.667,217.19189,1652.15134,-2017.78244,81.17684,1654.42184,-2012.53098,207.81092,1628.97308,-2152.75879,80.2305,1627.65228,-2141.20804,221.81496,1393.13583,-2054.05991,82.04046,1392.27737,-2039.7197,203.04493,1441.26862,-2170.65002,55.49666,1447.76184,-2150.15625,122.29678,1285.61401,-2216.73935,150.9051,1325.15808,-1994.89456,153.01893,1243.15926,-1945.72327,325.8485,1413.28674,-2135.10345,364.31236,1199.93233,-2136.25412,348.45596,1086.33682,-2158.71078,380.61817,981.70456,-2130.97458,324.56604,844.01375,-2059.29672,385.95604,835.94551,-2102.26898,386.32416,793.42712,-2052.83859,-29.69341,1418.77014,-2093.80234,-66.02288,1183.77853,-2135.27298,-90.49298,1087.76176,-2081.86127,-80.72089,973.30322,-2081.21384,-109.51415,844.08043,-2024.29672,-118.53306,806.82846,-1968.26797,278.65734,980.35103,-2003.81866,-0.45893,970.60844,-2002.69394,216.92038,1043.97118,-2169.18427,39.07207,1044.254,-2166.53046,278.45163,680.10262,-2171.85837,266.89745,508.92509,-2094.70551,-65.12081,858.86902,-1966.02112,265.20813,313.70192,-2096.17599,262.16736,128.45416,-2146.02219,221.78844,77.81126,-2208.23166,227.67933,66.60075,-1978.28537,-7.90471,726.64406,-2164.95941,18.36493,561.07914,-2067.33826,73.67123,375.09464,-2088.82996,39.14762,121.13222,-2146.4357,55.96611,71.17774,-2018.89633,89.59569,63.65489,-2216.85623
7,0.7,216.83512,1652.0694,-2017.00912,81.03274,1654.05914,-2013.37036,209.18501,1629.29718,-2152.2197,81.4697,1627.73453,-2142.10663,222.02877,1393.33023,-2052.69409,82.05119,1392.75177,-2040.96375,205.83775,1440.83755,-2169.83612,58.00564,1447.41898,-2152.19269,125.85373,1284.94705,-2216.76605,150.41036,1325.72205,-1993.96851,150.89091,1244.15627,-1944.76166,327.87731,1413.16086,-2131.60858,366.8063,1199.79599,-2129.75372,352.1122,1086.00487,-2152.16354,383.24234,981.23055,-2122.05292,326.32404,843.5775,-2052.64114,389.39384,836.52222,-2093.8916,388.49434,794.0992,-2044.0271,-28.50473,1419.03305,-2097.77008,-64.03478,1183.81607,-2138.68332,-89.98256,1088.15735,-2085.03143,-80.27929,973.56888,-2082.46368,-111.28799,845.89432,-2024.2688,-120.93266,808.83759,-1968.02521,277.93598,979.60388,-2001.28952,-1.46256,970.79453,-2002.04727,218.20812,1043.90953,-2166.63544,40.26999,1044.46182,-2166.04904,278.25796,680.0444,-2170.19012,267.2526,509.22153,-2092.61108,-67.80611,860.84198,-1965.41901,264.93912,313.41043,-2095.51804,261.60517,128.30731,-2145.82855,221.05597,77.8799,-2208.06839,227.47768,66.50973,-1977.97516,-7.3167,726.78909,-2165.15671,18.2339,561.11763,-2067.2551,73.71535,375.0774,-2088.4024,39.17258,121.1918,-2146.42914,55.90064,71.14371,-2018.85712,89.64445,63.69346,-2216.85104
8,0.733,216.43154,1651.84158,-2016.06735,80.77927,1653.38226,-2014.49432,210.84784,1629.47006,-2151.49292,83.00807,1627.57111,-2143.31436,222.51408,1393.4166,-2051.52954,82.71947,1393.18451,-2042.1611,208.62022,1440.27557,-2169.13757,60.57713,1447.02713,-2154.1008,129.30522,1284.27094,-2216.90109,149.92858,1326.24664,-1993.94196,149.79136,1244.87869,-1944.23187,329.9902,1412.8627,-2128.63098,369.12159,1199.65965,-2123.97659,355.50816,1085.2906,-2145.24002,386.42914,981.29402,-2113.96347,328.05168,844.48883,-2043.68164,392.49264,836.88286,-2084.58527,391.1182,794.91028,-2034.39148,-27.01575,1419.13391,-2101.24359,-61.69405,1183.79761,-2141.8634,-89.3169,1088.39607,-2088.43643,-79.8139,973.7677,-2084.2363,-113.14946,847.50008,-2024.97864,-123.49691,810.62012,-1968.58398,277.45598,978.89244,-1999.27124,-2.05386,971.01135,-2002.41943,219.06021,1043.74657,-2165.00748,41.30955,1044.52461,-2165.76904,278.92437,679.68201,-2168.62946,267.62569,508.1633,-2092.55005,-70.30011,862.51701,-1965.3891,265.583,312.73443,-2094.86572,262.5724,127.82452,-2145.45975,222.22538,77.40903,-2208.12286,227.57879,66.45988,-1977.96646,-6.73049,726.92139,-2165.5513,18.22177,561.19484,-2067.34207,73.93824,375.11723,-2087.98538,39.21309,121.23944,-2146.42212,55.86826,71.17859,-2018.88702,89.6686,63.67902,-2216.81854
